series,p,subjective_prob
a bisexual,0.11,0.005
a bisexual,0.13,0.005
a bisexual,0.15,0.005
a bisexual,0.17,0.005
a bisexual,0.19,0.005
a bisexual,0.21,0.005
a bisexual,0.23,0.005
a bisexual,0.25,0.005
a bisexual,0.27,0.013333333333333334
a bisexual,0.29,0.013333333333333334
a bisexual,0.31,0.013333333333333334
a bisexual,0.33,0.013333333333333334
a bisexual,0.35,0.02
a bisexual,0.37,0.02
a bisexual,0.39,0.02
a bisexual,0.41,0.03333333333333333
a bisexual,0.43,0.04666666666666667
a bisexual,0.45,0.04666666666666667
a bisexual,0.47,0.053333333333333344
a bisexual,0.49,0.02666666666666667
a bisexual,0.51,0.19666666666666666
a bisexual,0.53,0.23333333333333336
a bisexual,0.55,0.26666666666666666
a bisexual,0.57,0.2833333333333333
a bisexual,0.59,0.3466666666666667
a bisexual,0.61,0.5233333333333333
a bisexual,0.63,0.5266666666666667
a bisexual,0.65,0.5800000000000001
a bisexual,0.67,0.6
a bisexual,0.69,0.65
a bisexual,0.71,0.7166666666666667
a bisexual,0.73,0.7400000000000001
a bisexual,0.75,0.7533333333333333
a bisexual,0.77,0.8033333333333333
a bisexual,0.79,0.7999999999999999
a bisexual,0.81,0.8233333333333334
a bisexual,0.83,0.8233333333333334
a bisexual,0.85,0.8466666666666667
a bisexual,0.87,0.8966666666666666
a bisexual,0.89,0.9
a bisexual,0.91,0.9266666666666666
a bisexual,0.93,0.9433333333333334
a bisexual,0.95,0.9366666666666666
a bisexual,0.97,0.9583333333333334
a bisexual,0.99,0.93
a black,0.01,0.005
a black,0.03,0.005
a black,0.05,0.005
a black,0.07,0.005
a black,0.09,0.005
a black,0.11,0.005
a black,0.13,0.005
a black,0.15,0.005
a black,0.17,0.005
a black,0.19,0.005
a black,0.21,0.013333333333333334
a black,0.23,0.011666666666666667
a black,0.25,0.008333333333333333
a black,0.27,0.013333333333333334
a black,0.29,0.013333333333333334
a black,0.31,0.013333333333333334
a black,0.33,0.013333333333333334
a black,0.35,0.013333333333333334
a black,0.37,0.02666666666666667
a black,0.39,0.03333333333333333
a black,0.41,0.04666666666666667
a black,0.43,0.053333333333333344
a black,0.45,0.05333333333333334
a black,0.47,0.06666666666666667
a black,0.49,0.04666666666666667
a black,0.51,0.19666666666666668
a black,0.53,0.25
a black,0.55,0.3233333333333333
a black,0.57,0.2966666666666667
a black,0.59,0.36333333333333334
a black,0.61,0.5533333333333333
a black,0.63,0.5633333333333334
a black,0.65,0.6
a black,0.67,0.5733333333333334
a black,0.69,0.65
a black,0.71,0.73
a black,0.73,0.7399999999999999
a black,0.75,0.7033333333333333
a black,0.77,0.7833333333333333
a black,0.79,0.8033333333333333
a black,0.81,0.8066666666666666
a black,0.83,0.8366666666666668
a black,0.85,0.8466666666666667
a black,0.87,0.9
a black,0.89,0.8933333333333334
